lang,phonemes
no,f uə ʂ uə tʂ uə e l b̞ a l̪ ɴ i k lʲ l ʌ ð ə ɛ ɳ ɟ o ə n
no,m a n ɴ a kʰ a n ɴ ʂ ɻ̩ ð uə m o ɕ y b̞ ɒ
no,ts o ɛ m ɾʲ iː k͡p̚ ɔ̃ ŋ s ɪ ɒ ʁ ɹ̩ ð ɛ
no,p ɒ lʲ i k iː l o s b̤ ɒ ɪ
no,k ʌ l̪ kʰ o ŋ̟ ʂ ʌ tɕʰ iː m e ɪ k a n
no,ɒ w i ɨ lʲ ɛ n m ɛ ʔ ɒ
no,ɒ a lʲ e tʂ ʌ e ɳ m i n ɒ s̪ uə ʌ o d æ ɾ e l a ʂ u uə n m ɪ ɾ m a ɪ m a ɾ tʂʰ ʌ k j e ɾ s o ð ɪ o tʂ uː s
no,f uə ɾ ʌ p uə o ð ɪ k e p ɾ o s e s uə ʂ ʌ m e j a ɒ ɾ i n d ɪ k i æ t
no,d͡ʒ̤ ɨ m ɔ j l ɒ ð iː n e j ʔ a x ɒ b ɒ ɾ iː
no,t̪ʰ iː w uə ɒ n tʂ o ŋ ʂ i k ʌ tʂ uə œ ɴ tʂ ə ɾ ɒ o a s a ɴ e ð e s a k͡p̚ ɻ̩ ʂ ɒ ɴ uə
no,t̪ʰ ʌ ŋ s̪ ʌ ŋ f ɪ e ɾ v ɑ ɻ̩ d ɪ ɒ tʰ a l̪ o ɴ ɪ s̪ iː n tʂ ɔ ŋ b i lʲ e
no,ʁ a ɴ l e ɪ t e l e n g o m e l b uə ʂ ʌ n h ʌ ɪ t a n p iː i b̞ ʌ l uə
no,ʁ uə g lʲ e ɾ ə ð ɒ l̪ ʔ ɒ ɳ f ɔ ɴ ɒ k ʂ ɪ l̪ b e i m e ɴ m a ɪ l o
no,ʔ ɒ t̪ʰ iː s t ʌ p ɒ ʂ m ɒ n ɡ ɾ ʌ b̞ e k o ɛ ɾ
no,ɪ ʃ ə
no,u l̪ d ɨ ʁ
no,ð ə b i ð a ɒ ð o ʂ o tʰ e ɾ ɒ o f o uə p uə o ʂ ʌ ŋ f ʌ ɾ j æ n
no,ɪ y ɒ n f ɪ s̪ p a ɾ ɴ ɒ ɪ lʲ ɪ ɕ ɔ̃ s t u ɾ æ a d ʁ ʌ t̪ d ə l a m ɨ a
no,t ɒ b̞ a z ʌ ʔ ɔ t͡ɕ ɒ h ɒ ɾʲ i d̪ ɨ t̪ l̪ iː ɴ uə
no,ɒ m ɒ ɾ i n tʲ i ʔ ɒ
no,ɒ ɳ i ɟ t̪ ɨ ɾ t̪ a ɒ r ɒ ʔ ɒ
no,ɨ ɒ s ʊ m ɒ s t͡ɕ a m ɒ ɴ m ɔ d̪ d͡ʒ̤ ɨ ɾ u ŋ d ɒ
no,w a tʂʰ uə n ð e n f a ŋ t͡ɕ i tʂ ɹ̩ t͡ɕ i o tʰ e f a ŋ t i ʂ a t͡ɕ ə n
no,i t̪ i lʲ ɪ h uə o ɒ ɪ m e n t a ɪ ɕ i ŋ t iː ɾ ɒ ɪ
no,ʁ ð e pʲ iː k iː s x uə ɾ ɹ̩ o uə s ə f ɹ̩ t ɒ
no,pʰ ʌ v ɒ k͡p̚ ʏ p uə o tʂʰ a m ʌ ɴ tʰ ʁ a n t ɪ b̞ a
no,t̪ʰ ɒ tʂ æ n p uə l̪ a ŋ l̪ uə a n d a ɪ
no,ɾ e p uə b l ɪ k tɕ iː ɾ ɪ o p ɾ i ɛ æ a l n ʌ b̞ e ɾ ð e pʲ i ɾ a
no,ts o w m ɒ ʂ iː g ɟ iː ɾ ə s̪ ɛ l̪ ʁ t͡ɕ ɛ l̪ ɛ lʲ ɒ l̪ g ɒ l̪ ɒ s ɤ ʔ ɛ
no,i ʁ uə ɒ ʔ ɒ ɴ ә m ɒ ɴ ɒ j ɒ h œ e ʂ ɻ̩ t ɒ l ɒ l̪ ә ʁ ɒ ʂ uə
no,i tsʰ e ŋ s̪ ɻ̩ b̞ o n a ɴ o e pʰ o lʲ
no,tʲ e t̪ʰ ɒ b u l̪ j e n æ t͡ɕ iː m ɒ ɳ iː uə b ɪ n
no,e ɕ a k iː ʌ l t̪ ә m g o ʁ t o f uː m a ɪ ɾ n a ʂ e s k ʌ p uə s uə tʂ ɾ uə ɒ t͡ɕ i a
no,e kʰ o m ɪ s k p e s k ə s fʲ e ɛ lʲ l o uə p ɪ ɾ e a o i ts a ð e s e ʂ e t̪ e p o b̞ i t e
no,ɒ d ʊ u ɾ iː ʂ ɒ l̪
no,ɾ a j t̪ʰ ɒ j tʂ ɒ j iː g uə tsʰ ɒ ð ə
no,a o ð iː tʂ e k t iː s tʲ i iː e p ʌ m e t i ɴ ʌ ɒ tʰ y ɾ ɒ o p ʌ ɾ ɒ uə tʂ ɨ
no,ɒ l s̪ o n a x o b̤ ɛ ɾ a k l i s t ʌ x ʌ ɴ ɳ ɛ m iː dʲ ɒ ɴ j a m ә ɴ
no,ʁ o p ɔ ɳ ɛ e ʁ ɒ k͡p̚ ɔ p i m ɔ ɴ t̪ ɛ ŋ̟ m æ iː
no,ɴ o ŋ x ʁ iː t͡ɕ i ɒ ð n k͡p̚ uə o ɪ lʲ iː ts uə o x ɒ ɾ t̪ uə t ɹ̩ t͡ɕ i a æ
no,iː ʔ ɒ l̪ ɨ ð ə tʰ t ɹ u ɒ k͡p̚ t iː d a ɾ h ɒ j n i œ̃ m ɔ ɹ
no,b a ɾ k͡p̚ uə a
no,e k uə o
no,d ɪ f ɔ s ʌ m tʂʰ ɨ m z p ʌ s p ɛ g iː d t ə p ə ð ə
no,ʔ a r ә k k͡p̚ b o ɾ ɪ lʲ j e ɳ ʔ ɒ ʔ ij iː ɴ ɒ ʔ i ɲ j ɛ ɴ t i ŋ
no,f a l lʲ i e ts ɔ t ɔ t tʂ ð ɪ ʂ ɻ̩ ʂ k iː l ɔ ɾ
no,ɒ ʔ ɒ j a ɒ l ɒ b iː e iː t͡ɕ ʌ ɴ k͡p̚ ә n s
no,b̞ ʌ lʲ ɪ tɕ e t̪ ɪ i o ɪ e s t a o tɕʰ e s t e a m ɪ l̪ lʲ e l a n s̪ ɪ k i l̪ iː tʂ iː x ʌ l̪ n e a f ɻ̩ lʲ i ɾ m o s
no,t̪ʰ iː b ɔ l̪ k͡p̚ iː t iː ð e ð e s̪ k͡p̚ iː l̪ lʲ iː ɾ h ɒ z
no,ts ɔ ŋ f uə m ɒ s̪ ɒ z ɒ ð e d ɪ d ʌ ɳ ɪ h l̪ x a ɒ ŋ d ɒ ɴ ʌ
no,ʔ iː j iː n ɔ o d͡ʒ j s t̪ ɛ ɾ ɒ k͡p̚ ә s̪ ɔ n ә ɴ ɨ k͡p̚ ʌ ɴ b̤ uə ɒ tʲ ɯ p ɒ lʲ iː
no,ts ʌ m s k ɑ ɹ ɾ j ɪ ɹ z ə s i j ɛ k t ɹ̩
no,lʲ i m iː i k͡p̚ iː t a ð ɪ a ts a ɒ o ʂ ɻ̩ b uə o ð ɨ m ʌ tʰ i ɴ i n ɴ ɒ ɪ s ɒ b æ n ʂ ɻ̩ f ij j o ɴ d ɪ lʲ j a
no,b uə tʂʰ a
no,ʔ ɒ l̪ b̞ iː tsʰ ɒ l̪ x uə ɒ ɾ tʂ e s̪ ɻ̩ g ij j e a s t o e tʂʰ ɒ ɴ t ɨ ɟ æ tʂ p a
