lang,phonemes
de,l øː z eːf oː iː pa ʊ sf oː ɐd eː mʔ a n p a s z ə n
de,ʃ t a ʁ t ə
de,ʃ t a ʁ t əʔ aʊ̯h oː uː ɐt iː m ɐ
de,l øː z eːz ɪ pa ʊ st s ʊ mʃ l ʊ s s
de,p l a t s
de,b ə ʔ ɛ n d əm oː m ɛ n t a n əʔ a k t iː v iː t ɛː t
de,b ə n a x ʁ ɪ ç t ɪ g əm ɪ çyː b ɐʔ eː m a iː l
de,ʃ a oː ən aː x
de,d uːz ɔ l t ə s tn ɔ xɛ t v a sm eː ɐl ɛ ʁ n ə n
de,b ə n a x ʁ ɪ ç t ɪ g əm ɪ çn ɪ ç tm eː ɐyː b ɐn ə vʔ eː m a iː l
de,ʔ a t l a n t a
de,a oː t oː m a t ɪ ʃ əh ɛ l ɪ ç k aɪ̯ t
de,n ɛ n n əm ɪ ʁa eː nv aɪ̯ s h aɪ̯ t
de,f l a v oː uː ɐt ɛ k s t
de,ʃ a l t əd iːʔ aʊ̯ g ŋb ə l ɔ ɔʏ̯ ç t ʊ ŋ sp eː g eː l
de,n a t uː ɐ
de,l iː sa eː nm ɛ ɐ ç n
de,h aː b əɪ çn ɔ ɔʏ̯ əəm a ɪ l s
de,z aː kn oː d əʁ eː th a l oː
de,k a nd uːm ɪ ʁ‖
de,d ə ʔ a k t iː v iː ʁ ə nʔ a n ʁ uː f əp ʁ ɪ oː ʁ iː t ɛː t
de,ʔ ɛː ɐ ʁ aː t ət s aː l
de,k a n s td uːd a sn ɔ χ m aː lz aː g ə n‖
de,d uːv ɪ ʁ s tɛ t v a sm eː ɐl ɛ ʁ n ə n
de,ʔ ɛ n d ɐ əm aɪ̯ n əm ə ɪ n ʊ ŋ
de,s n ɔ v b oː yː
de,l iː sm ɪ ʁa eː nəm ɛ ɐ ç n
de,ʔ ɛː ɐ t s ɛ la eː nəsg ə ʃ ɪ ç t ə
de,ʔ yː b ɛ ʁ t ʁ a g ə
de,ʃ p iː g l ə ɪ nʃ p iː g l ə ɪ n
de,ʃ p iː l əd iːm uː z iː k
de,ʔ ɛː ɐ v ə iː t ɐ əm aɪ̯ n əd iː a l oː g ə
de,z ʏ n t s ʁ oː n iː t s ə
de,l ɪ s t ət iː m ɐaʊ̯ f
de,v a eː z s ə iː t
de,ʔ a n ʁ uː fʔ a n n eː m ə n
de,t s ə ɪ g əm ɪ ʁd iːʔ a k t uː ɛ l l ə nʔ a k t iː v iː t ɛː t ə nʔ a n
de,n ɔ ɔʏ̯ t ʁ a l
de,z ɪ s t eː m
de,k ɔ m t
de,n iː d ʁ ɪ g ɐ
de,ʔ aɪ̯ n f a x
de,m a χ ən oː d ət͡s uːʔ a eː n ə mf a l l b a ks k ɪ l l
de,z ɛ t s əa oː t oː m a t ɪ ʃ əl a oː t s t ɛ ʁ k əaʊ̯ fʔ iː n a k t iː f
de,k a n s t
de,v oːb ɪ s td uː
de,a k t iː v iː ʁ ə nʔ iː d ə
de,ʔ afs h oː v
de,n a t yː ʁ l ɪ ç
de,t øː t eːt eː l eː f oː n iː ʁ eːʊ n t ə ʁ h a l t ə n
de,g iː pm ɪ ʁa eː nt s iː t a t
de,t s a eː k vh oː m əp aː g eːz ɛ t ɪ ŋ s
de,ʔ aʊ̯ f a iː l ɪ ŋ|
de,v a sz ɔ l t əɪ çt ʁ aː g ə n
de,v a sɪ s td eː ɐv eː ɐ td ə st ɛ ʁ m ɔ s t a t s
de,p ɔ k ɛ t͡ʃ f ɪ n k s
de,ʔ ɛ n d ɐ əd iːʔ aʊ̯ g ŋb ə l ɔ ɔʏ̯ ç t ʊ ŋ s
de,v a sh a s td uːg ə z aː k t‖
de,l iː sm ɪ ʁa eː nəg ə ʃ ɪ ç t ə
de,d uːb ɪ s taʊ̯ xh ɛ l
de,m a χ əz ɪ pm ɪ tp ʁ ɪ oː ʁ iː t ɛː tf ɛ ɪ k k ə iː t
de,v oːɪ s td iːʔ ɪ s s
de,yː b ə ʁ v a χ ə n
de,ʃ t aː t uː sd ə st iː m ɐ ç
de,m a χ ət eː l ə f oː np ʁ ɪ oː ʁ iː t ɛː tf ɛ ɪ k k ə iː t
de,ʃ t ɛ l l əm ɪ ʁk v uː ɪ t s f ʁ aː g ə nt͡s uːd eː nn aː t s ɪ oː n a l p a ʁ k s
de,yː oː uːt uː b eː
de,d a sɪ s tg ə n uː k‖
de,k a n s td uːʔ a nd aɪ̯ n ə nd iː a l oː g ə na ʁ b aɪ̯ t ə n
de,ɪ çv ɪ lʔ eː sɛ ɐ k l ɛː ʁ ə n
de,d eː v iː t s ə s
de,n ə vʏ ɔ ʁ k
de,v a sh a s td uːg ə m a eː n t‖
de,ʔ aʊ̯ p l a eːt əs ɔ ŋt s a l l eː th oː l eːm oː ʊ n t a ɪ nb yːt əm uː z iː t s iː a n ss l ə ə p
de,a l ə s
de,z ʊ x əd a t a eː n a m ə n
de,v oːh a t
de,v a sz ɪ n td iːb ə l iː p t ɛ s t ə nf ɪ l m ət s ʊ mʔ a p ʃ p iː l ə n
de,v a sv aː ɐ
de,l a oː t ʃ p ɛ ç ɐ
de,ʃ t ɔ p p əf oː iː pp ʁ ɪ oː ʁ iː t ɛː t
de,l œ ʃ ə nz iːd eː na l a ʁ m‖
de,ʃ t a ʁ t əʔ aʊ̯m iː n uː t ət iː m ɐ
de,f ɪ n d əb ə l iː p t əm oː v iː ə s
de,t s uː f ɛ l l ɪ k k ə iː t
de,v a sz ɪ n td iːb ə l iː p t ɛ s t ə nm oː v iː ə sʔ a k t ʊ l l ə
de,h a l t əd eː nm ʊ n t‖
de,ʃ t a ʁ t əʔ aɪ̯ n ən ɔ ɔʏ̯ əʔ a k t iː v iː t ɛː t
de,l iː sm ɪ ʁa eː nəsg ə ʃ ɪ ç t əf oː ɐ
de,v h aː tɪ s td eː ɐʔ a k t uː ɛ l l ə
de,p oː k eː m oː nf ɛː ɐ z ɪ oː n
de,ʃ t ɔ p p əʔ a n ʁ uː f əʊ n t ə ʁ h a l t ə n
de,l iː sa eː nəm ɛ ɐ ç n
de,ʔ a p ʃ a l t n
de,f a ʁ p t ɛ m p eː ʁ a t uː ɐ
de,b ə n a x ʁ ɪ ç t ɪ g əm ɪ çn ɪ ç tm eː ɐyː b ɐn ə vm a ɪ l
de,m a χ ən oː d ət͡s uːʔ a eː n ə mf a lb a ks k ɪ l l
de,m a χ ət eː l ə f oː nm ɪ tp ʁ ɪ oː ʁ iː t ɛː tf ɛ ɪ k k ə iː t
de,b ə ʔ ɛ n d əʔ a n ʁ uː f əp ʁ ɪ oː ʁ iː t ɛː t
de,z ɛ t s əd iːp ʁ ɪ oː ʁ iː t ɛː tf yː ɐn oː d əʁ eː tt s uː ʁ ʏ k
de,m a χ əʔ a n ʁ uː f əʔ a nf a l l b a ks k ɪ l l
de,t͡s aɪ̯ g ə n
de,ʔ ɛː ɐ t s ɛ lm ɪ ʁf ɔ nʔ eː m a iː l
de,ʃ t ɔ p p əʔ a n ʁ uː f əp ʁ ɪ oː ʁ iː t ɛː t
de,z aː km ɪ ʁd eː ɐʔ a k t uː ɛ l l ə
de,v ə iː ə sh aʊ̯ s
de,z ɛ t s ət s uː ʁ ʏ k
de,l œ ʃ ə
de,n ʊ t ɪ ç
de,d eː l ə t əa lm yːʔ aː l a ʁ m s‖
de,z ɛ t s ək ɔ n f iː g uː ʁ a t s ɪ oː n
de,v a nh a t
de,ʁ eː b oː oː tz ɪ p
de,ʔ aʊ̯ s ʃ a l t nʔ a n ʁ uː f əʊ n t ə ʁ h a l t ə n
de,d ɪ m m əa eː nb ɪ ʃ ə na p
de,n ɛ n n əm ɪ ʁ
de,ʔ ɛː ɐ t s ɛ lm ɪ ʁa eː nsm ɛ ɐ ç nf oː ɐ
de,m a χ əf oː iː pʔ a np ʁ ɪ oː ʁ iː t ɛː tf ɛ ɪ k k ə iː t
de,h aː b əɪ çn ɔ ɔʏ̯ əp ɔ s t
de,ʔ ɛ n d ɐ əd iːʔ aʊ̯ g ŋh ɛ l l ɪ k k a eː t s
de,ʔ yː b ɛ ʁ p ʁ yː f əm p
de,l ɪ s t əf ɛː ɐ f ʏ k b a ʁ əs k ɪ l l s‖
de,h oː m ɛ s t s ʁ ə ə nʔ a eː n ʃ t ɛ l l ʊ ŋ ə nʔ a n t s ə ɪ g ə n
de,ɪ çʔ ɛː ɐ k l ɛː ʁ əʔ eː sd iː ɐ
de,m a χ əz ɪ pʔ a nf a l l b a k
de,f oː ɐ ɪ g ɐ
de,d eː l ə t əa lʔ ɔ fʔ aː l a ʁ m s‖
de,h ɛ ʁ ʊ n t ɐ
de,ʔ aʊ̯ p l a eːt əs ɔ ŋn aː m eː th oː l eːm oː ʊ n t a ɪ nb yːs l ə ə pʔ ɔ f ft əʔ a l b uː mh oː l eːm oː ʊ n t a ɪ n
de,ʃ t ɛ l l əd iːh ɛ l l ɪ k k a eː t sp eː g eː l
de,ʔ a p b ʁ ɛ ç ə nʔ a n ʁ uː f əp ʁ ɪ oː ʁ iː t ɛː t
de,h ɛ ʁ a oː f
de,t s ʁ a t əʔ a na l a ʁ mt s l ɔ k
de,ʃ v ɛ ʁ t s ə n
de,m a χ əf oː iː pp ʁ ɪ oː ʁ iː t ɛː tf ɛ ɪ k k ə iː t
de,ʔ a k t iː v iː ʁ v ɔ ʁ tʔ ɛ ŋ ɪ n ə
de,k a n s td uːm ɪ çb aɪ̯z ɔ n n eː n a oː f g a ŋv ɛ k ŋ‖
